isNews,otherWebsiteLink,href,follow_allowed,isFileLink,isBaseOnly,containsNOfollowKeyword,rel,title,urlLength,titleLength,nOfDdigits,nOfForwardSlash,nOfDot,nOfEqual,nOfHash
FALSE,TRUE,http://havadurumu.gazetevatan.com/,TRUE,FALSE,FALSE,FALSE,,,34,0,0,3,2,0,0
FALSE,TRUE,http://www.facebook.com/gazetevatan,TRUE,FALSE,FALSE,FALSE,,,35,0,0,3,2,0,0
FALSE,FALSE,https://www.borsagundem.com/,TRUE,FALSE,TRUE,FALSE,,Borsa Gündem,28,12,0,3,2,0,0
FALSE,FALSE,https://www.posta.com.tr/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,3,0,0
FALSE,TRUE,http://twitter.com/vatan,TRUE,FALSE,FALSE,FALSE,,,24,0,0,3,1,0,0
FALSE,FALSE,https://www.gazetevatan.com/,TRUE,FALSE,TRUE,FALSE,,,28,0,0,3,2,0,0
FALSE,FALSE,https://www.borsagundem.com/piyasa-ekrani/yatirimci-masasi,TRUE,FALSE,FALSE,FALSE,,Sorun Yanıtlayalım,58,18,0,4,2,0,0
FALSE,FALSE,https://www.posta.com.tr/gundem,TRUE,FALSE,FALSE,FALSE,,Gündem,31,6,0,3,3,0,0
FALSE,TRUE,http://www.gazetevatan.com/fotogaleri/,TRUE,FALSE,FALSE,FALSE,,,38,0,0,4,2,0,0
FALSE,TRUE,http://videogaleri.gazetevatan.com/,TRUE,FALSE,FALSE,FALSE,,,35,0,0,3,2,0,0
FALSE,TRUE,https://www.finansgundem.com/,TRUE,FALSE,FALSE,FALSE,,Türkiye’nin Finans Merkezi,29,26,0,3,2,0,0
FALSE,TRUE,http://www.otomobilsayfasi.com,TRUE,FALSE,FALSE,FALSE,,Otomobil dünyasıyla ilgili her şey,30,34,0,2,2,0,0
FALSE,TRUE,http://www.teknolojigundem.com/,TRUE,FALSE,FALSE,FALSE,,Teknoloji Gündem,31,16,0,3,2,0,0
FALSE,FALSE,https://www.posta.com.tr/gundem/siyaset,TRUE,FALSE,FALSE,FALSE,,Siyaset,39,7,0,4,3,0,0
FALSE,TRUE,http://finans.gazetevatan.com/endeks-detay/XU100/,TRUE,FALSE,FALSE,FALSE,,,49,0,0,5,2,0,0
FALSE,TRUE,http://finans.gazetevatan.com/euro/,TRUE,FALSE,FALSE,FALSE,,,35,0,0,4,2,0,0
FALSE,TRUE,http://finans.gazetevatan.com/dolar/,TRUE,FALSE,FALSE,FALSE,,,36,0,0,4,2,0,0
FALSE,FALSE,https://www.turkish.shafaqna.com/,TRUE,FALSE,TRUE,FALSE,,,33,0,0,3,3,0,0
FALSE,FALSE,https://www.haberler.com/,TRUE,FALSE,TRUE,FALSE,,"Haber, Son Dakika, Haberler",25,27,0,3,2,0,0
FALSE,FALSE,https://www.sondakika.com/,TRUE,FALSE,TRUE,FALSE,,Son Dakika - Son Dakika Haberleri - Son Haberler,26,48,0,3,2,0,0
FALSE,FALSE,https://www.haberturk.com/ekonomi/borsa,TRUE,FALSE,FALSE,FALSE,,,39,0,0,4,2,0,0
FALSE,FALSE,https://www.f5haber.com/,TRUE,FALSE,TRUE,FALSE,,F5 Haber,24,8,1,3,2,0,0
FALSE,FALSE,https://www.borsagundem.com/sirket-haberleri,TRUE,FALSE,FALSE,FALSE,,Şirket Haberleri,44,16,0,3,2,0,0
FALSE,FALSE,https://www.posta.com.tr/gundem/turkiye,TRUE,FALSE,FALSE,FALSE,,Türkiye,39,7,0,4,3,0,0
FALSE,TRUE,http://finans.gazetevatan.com/altin/,TRUE,FALSE,FALSE,FALSE,,,36,0,0,4,2,0,0
FALSE,TRUE,http://finans.gazetevatan.com/canli-borsa/,TRUE,FALSE,FALSE,FALSE,,,42,0,0,4,2,0,0
FALSE,FALSE,https://www.turkish.shafaqna.com/,TRUE,FALSE,TRUE,FALSE,,,33,0,0,3,3,0,0
FALSE,FALSE,https://www.turkish.shafaqna.com/TR/AL/archive/1,TRUE,FALSE,FALSE,FALSE,,,48,0,0,6,3,0,0
FALSE,FALSE,https://www.turkish.shafaqna.com/TR/AL/page/contact-us,TRUE,FALSE,FALSE,TRUE,,,54,0,0,6,3,0,0
FALSE,FALSE,https://www.turkish.shafaqna.com/rss.xml,TRUE,TRUE,FALSE,FALSE,,,40,0,0,3,4,0,0
FALSE,FALSE,https://www.haberler.com/,TRUE,FALSE,TRUE,FALSE,,Haber,25,5,0,3,2,0,0
FALSE,FALSE,https://www.haberler.com/son-dakika/,TRUE,FALSE,FALSE,FALSE,,Son Dakika,36,10,0,4,2,0,0
FALSE,FALSE,https://www.sondakika.com/,TRUE,FALSE,TRUE,FALSE,,Son Dakika - Son Dakika Haberleri - Son Haberler,26,48,0,3,2,0,0
FALSE,FALSE,https://www.sondakika.com/ekonomi/,TRUE,FALSE,FALSE,FALSE,,Son Dakika Ekonomi Haberleri,34,28,0,4,2,0,0
FALSE,FALSE,https://www.haberturk.com/ekonomi/piyasa/88-dolar,TRUE,FALSE,FALSE,FALSE,,,49,0,0,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/ekonomi/piyasa/89-euro,TRUE,FALSE,FALSE,FALSE,,,48,0,0,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/ekonomi/altin,TRUE,FALSE,FALSE,FALSE,,,39,0,0,4,2,0,0
FALSE,TRUE,https://www.facebook.com/f5haber/,FALSE,FALSE,FALSE,FALSE,noopener,F5Haber Facebook,33,16,1,4,2,0,0
FALSE,TRUE,https://twitter.com/f5haber,FALSE,FALSE,FALSE,FALSE,noopener,F5Haber Twitter,27,15,1,3,1,0,0
FALSE,FALSE,https://www.borsagundem.com/borsa-kulis,TRUE,FALSE,FALSE,FALSE,,Kulis,39,5,0,3,2,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://www.posta.com.tr/dunya,TRUE,FALSE,FALSE,FALSE,,Dünya,30,5,0,3,3,0,0
FALSE,TRUE,http://www.gazetevatan.com/,TRUE,FALSE,FALSE,FALSE,,,27,0,0,3,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/calisma-hayati/,TRUE,FALSE,FALSE,FALSE,,Çalışma Hayatı,42,14,0,4,2,0,0
FALSE,FALSE,https://www.turkish.shafaqna.com/EN,TRUE,FALSE,FALSE,FALSE,,,35,0,0,3,3,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892012,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
